Title,Rating,Synopsis
,6.0,"Utopia is a conspiracy thriller that follows a group of young fans who come together when they discover that the conspiracy in an elusive comic, Utopia, is real. The comic foretells the demise of humanity and the world as we know it, thrusting this group of underdogs to embark on a high-stakes twisted adventure to use what they uncover to save themselves, each other and ultimately humanity."
Savage X Fenty Show,7.0,"Rihanna invites you to a high energy and visually stunning experience where you can watch and shop her latest lingerie line. Hear from Rihanna, those closest to her, and go behind-the-scenes of the Savage X Fenty brand as you sit front row to see top artists and models featuring Travis Scott, Rosalia, Bad Bunny, Lizzo, Cara Delevingne, Miguel, Bella Hadid, Normani, Willow Smith and many more."
,8.0,"NEW EPISODES FRIDAYS In a more intense Season 2 of THE BOYS, Butcher, Hughie and the team reel from their losses in Season 1. On the run from the law, they struggle to fight back against the Superheroes. Meanwhile Vought, the hero management company, cashes in on the panic over Supervillains, and a new hero, Stormfront, shakes up the company and challenges an already unstable Homelander."
Dora And The Lost City Of Gold,6.0,"When her parents disappear in search of the Lost City of Gold, Dora swings into action on a wild quest to find them. Follow Dora and her friends as they navigate the jungle, outrun treasure hunters and unlock the mystery of the fabled city."
Rick and Morty,,"You paid for 10 episodes, chill broh. Buckle in for disappointment because there’s no way these episodes will be good enough for how long you waited. But maybe they will be? It’s season four! It’s sexy and smooth. Buckle in! Did I already say that? Definitely stay buckled in. All new episodes starting Sunday, November 10th on Adult Swim."
The Addams Family (2019),5.0,"Get ready to snap your fingers! The Addams Family is back on the big screen in the first animated comedy about the kookiest family on the block. Funny, outlandish, and utterly iconic, the Addams Family redefines what it means to be a good neighbor."
Gemini Man,5.0,Will Smith stars in the nonstop action thrill-ride from Academy Award-winning director Ang Lee. Retired hitman (Smith) is forced on the run and finds himself hunted by his ultimate adversary - a younger clone of himself.
Trauma Center,4.0,"In this intense action saga, Bruce Willis plays an vengeful police detective who teams up with an injured female witness to avenge the murders of his partner and an informant."
"Jeff, Who Lives at Home",6.0,30-year-old slacker (Jason Segel) finds his true destiny as he helps his brother (Ed Helms) stalk his possibly cheating wife in this offbeat comedy about fate and family.
Chemical Hearts,6.0,"When a hopelessly romantic high school senior (Austin Abrams) falls for a mysterious new classmate (Lili Reinhart), it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves."
My Spy,6.0,"My Spy follows JJ, a hardened CIA operative (Dave Bautista), who has been demoted and finds himself at the mercy of a precocious 9-year old girl named Sophie (Chloe Coleman) after he is sent undercover to surveil her family. In exchange for not blowing JJ’s cover, Sophie uses her charm and wit to convince him to spend time with her and teach her to be a spy."
Capone,4.0,"A ruthless businessman and bootlegger who ruled Chicago with an iron fist, Al ""Fonzo"" Capone (Tom Hardy) was the most infamous and feared gangster of American lore. At the age of 47, following nearly a decade of imprisonment, dementia rots Capone's mind and his past becomes present as harrowing memories of his violent and brutal origins melt into his waking life."
